LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C161871,B4B-XH-AM(LF)(SN),JST,,"Through Hole,P=2.5mm","1x4P 4P XH Tin 4 -25℃~+85℃ 3A 1 2.5mm Brass Through Hole Through Hole,P=2.5mm Wire To Board Connector ROHS",YES,20,0.0784,1.57,,,-
C161870,B3B-XH-AM(LF)(SN),JST,,"Through Hole,P=2.5mm","1x3P 3P XH Tin 3 -25℃~+85℃ 3A 1 2.5mm Brass Through Hole Through Hole,P=2.5mm Wire To Board Connector ROHS",YES,20,0.0546,1.09,,,-
C161872,B5B-XH-AM(LF)(SN),JST,,"Through Hole,P=2.5mm","1x5P 5P XH Tin 5 -25℃~+85℃ 3A 1 2.5mm Brass Through Hole Through Hole,P=2.5mm Wire To Board Connector ROHS",YES,5,,,,,Inquiring
C492401,PZ254V-11-02P,XFCN,,"Through Hole,P=2.54mm","Through Hole Pin Header 2.5mm 2P 6mm -40℃~+105℃ 3mm 2.54mm 1 Black Brass 1x2P Through Hole,P=2.54mm Pin Headers ROHS",YES,50,0.0135,0.68,,,-
C2691448,PZ254V-11-04P,XFCN,,"Through Hole,P=2.54mm","250V 3A Through Hole Pin Header 2.5mm 4P 6mm -40℃~+105℃ 3mm 2.54mm 1 Black 1x4P Through Hole,P=2.54mm Pin Headers ROHS",YES,60,0.0187,1.12,,,-
C2937625,PZ254V-11-03P,XFCN,,"Through Hole,P=2.54mm","250V 3A Through Hole Pin Header 2.5mm 3P 6mm -40℃~+105℃ 3mm 2.54mm 1 Black 1x3P Through Hole,P=2.54mm Pin Headers ROHS",YES,50,0.0141,0.71,,,-
C131337,B2B-PH-K-S(LF)(SN),JST,,"Through Hole,P=2mm","1x2P 2P PH Tin 2 -25℃~+85℃ 2A 1 2mm Brass Through Hole Through Hole,P=2mm Wire To Board Connector ROHS",YES,40,0.0314,1.26,,,-
C27438,2.54-1*8P,BOOMELE(Boom Precision Elec),,"Through Hole,P=2.54mm","2.54mm 1 8P Through Hole 1x8P Through Hole,P=2.54mm Female Headers ROHS",YES,40,0.0768,3.07,,,-
C49661,2.54-1*2P,BOOMELE(Boom Precision Elec),,"Through Hole,P=2.54mm","2.54mm 1 2P Through Hole 1x2P Through Hole,P=2.54mm Female Headers ROHS",YES,20,0.0381,0.76,,,-
C5665,2.54-2*5P,BOOMELE(Boom Precision Elec),,"Through Hole,P=2.54mm","2.54mm Through Hole 2x5P 5 IDC Header 2.54mm 2 Through Hole,P=2.54mm IDC Connectors ROHS",YES,10,0.0745,0.75,,,-
C18197869,PZ127V-12-10-0720,XFCN,,"Through Hole,P=1.27mm","Through Hole,P=1.27mm Pin Headers ROHS",YES,10,0.0634,0.63,,,-
C8465,WJ500V-5.08-2P,KANGNEX,,"Through Hole,P=5.08mm","1x2P 18A -40℃~+105℃ 250V Green 14~30 Through Hole 5.08mm 2.5 1 2 Through Hole,P=5.08mm Screw Terminal Blocks ROHS",YES,15,0.1089,1.63,,,-
C142685,0287020.PXCN,Littelfuse,,-,32V 1kA@32V Blade Fuse 20A Automotive Fuses ROHS,YES,5,0.1009,0.50,,,-
C142684,0287015.PXCN,Littelfuse,,-,32V 1kA@32V Blade Fuse 15A Automotive Fuses ROHS,YES,5,0.1041,0.52,,,-
C142683,0287010.PXCN,Littelfuse,,-,32V 1kA@32V Blade Fuse 10A Automotive Fuses ROHS,YES,5,0.1001,0.50,,,-
